no,zone,Location,down,number,households,persons,Demolitiontime,,,,,,
1,信義,松山路底福德街51巷山坡聚落,已拆遷,38,65,170,90/4/08,,,,,,
2,信義,松山路650巷15弄南側山坡聚落,已拆遷,62,81,209,93/7/30,,,,,,
3,信義,和平東路三段435巷29弄山坡聚落,列管,1,0,0,,,,聚落數量,建物門牌,戶數,設籍人數
4,信義,虎林街272巷山坡聚落,列管,10,12,29,,,89年,32,620,826,2297
5,信義,臥龍街427巷及395巷23弄附近山坡聚落,列管,3,5,16,,,90年1月,31,587,788,2183
6,信義,臥龍街427巷及395巷23弄附近山坡聚落,列管,3,3,6,,,90年4月,30,549,723,2013
7,信義,"臥龍街427巷5弄南側至427巷6,7弄間山坡聚落",列管,67,72,194,,,90年12月,29,549,654,1833
8,信義,吳興街底靠山腳及坑溝之山坡聚落,列管,5,7,24,,,93年7月,28,510,573,1624
32,信義,吳興街583巷117弄山坡聚落,已拆遷,33,38,114,90/01/07,,108年,24,510,573,1624
9,信義,聯勤技術訓練中心左側兩系谷溝沿線舊山坡聚落,列管,10,20,69,,,109年,24,510,573,1624
10,北投,貴子坑溪水磨坑溪匯流口上游山坡聚落,列管,35,44,151,,,110年,24,510,573,1624
11,北投,幽雅路杏林巷曹洞寺附近山坡聚落,列管,9,19,51,,,,,,,
12,士林,中社路1段9巷翠山莊,解除列管,30,20,60,,,,,,,
13,士林,臨溪路74巷及100巷山坡聚落,列管,20,26,74,,,,,,,
14,士林,仰德大道復興橋山坡聚落,解除列管,20,15,45,,,,,,,
15,士林,中山北路5段復興電台後方山坡聚落,列管,15,21,71,,,,,,,
16,大安,臥龍街426巷及臥龍街380至418號山坡聚落,列管,21,17,55,,,,,,,
17,大安,臥龍街436巷捷運線東側山坡聚落,列管,52,57,145,,,,,,,
18,大安,臥龍街436巷捷運線西側山坡聚落,列管,5,4,14,,,,,,,
19,中山,北安路501巷、689巷及自強隧道南洞口東側雞南山沿山腳一帶山坡聚落,已拆遷,39,69,180,90/12/15,,,,,,
20,中山,通北街118巷及146巷山坡聚落,列管,13,18,39,,,,,,,
21,內湖,內湖路一段47巷西側及內湖路一段39巷東側(靠劍南路下方)山坡聚落,列管,10,16,29,,,,,,,
22,文山,景興路仙跡岩下方紫範宮一帶山坡聚落,列管,20,19,56,,,,,,,
23,南港,中南街134巷及168巷一帶山坡聚落,列管,37,47,140,,,,,,,
24,南港,舊莊街2段156號後側､160號附近及306巷1號山坡聚落,列管,17,29,109,,,,,,,
25,大安,臥龍街379巷對面山坡聚落,列管,12,17,37,,,,,,,
26,文山,木柵路5段象頭埔山坡聚落,列管,4,16,59,,,,,,,
27,信義,信義路5段150巷342弄東側(慈惠堂)附近山坡聚落,列管,12,14,42,,,,,,,
28,信義,吳興街600巷55弄對面山坡聚落,解除列管,10,15,45,,,,,,,
29,南港,研究院路4段下寮橋北側山坡聚落,解除列管,25,10,30,,,,,,,
30,南港,成福路底北興宮附近山坡聚落,列管,19,33,84,,,,,,,
31,大安,基隆路3段155巷176弄東側山坡聚落,列管,48,57,130,,,,,,,
