NO.,AREA,LOU,DOWN,Buildingnumber,households,persons,coordinates,historicaldisaster,disaster,monitoring,abnormal,downhillslope,sensitivearea,,,,,,
1,信義,松山路底福德街51巷山坡聚落,0,46,65,170,"25.03609668126509, 121.5810781427746",1,局部崩塌,1,1,0,1,,,,,,
2,信義,松山路650巷15弄南側山坡聚落,0,119,209,597,"25.031817344534005, 121.57937424004398",1,土石流潛勢溪流谷口地帶,1,1,0,1,,,,,,
3,信義,和平東路三段435巷29弄山坡聚落,1,59,1,4,"25.020975499642187, 121.56063729066821",1,局部崩塌,1,0,0,0,,,聚落數量,建物門牌,戶數,設籍人數
4,信義,虎林街272巷山坡聚落,1,55,12,29,"25.034635668103316, 121.57847009052146",1,"1.106年虎林街272巷2-46號前下陷
2.105年虎林街272巷2-18號地質掏空
3.102年虎林街272巷2-32號崩塌下陷""",1,0,0,0,,89年,32,620,826,2297
5,信義,臥龍街427巷及395巷23弄附近山坡聚落,1,77,5,16,"25.016623886721, 121.56179106018914",1,無,1,0,1,1,,90年1月,31,587,788,2183
6,信義,臥龍街427巷及395巷23弄附近山坡聚落,1,61,3,6,"25.012950344387896, 121.56562655764826",1,"1.109年和平東路三段627巷65號後方樓梯下掏空
2.106年和平東路三段627巷21號邊坡土石崩塌
3.106年和平東路三段627巷51弄29號通道掏空",1,0,1,1,,90年4月,30,549,723,2013
7,信義,"臥龍街427巷5弄南側至427巷6,7弄間山坡聚落",1,72,72,194,"25.01225331292925, 121.56454555998302",0,,1,0,1,1,,90年12月,29,549,654,1833
8,信義,吳興街底靠山腳及坑溝之山坡聚落,1,23,7,24,"25.016733235216986, 121.57161776252829",1,1.102年吳興街600巷98弄20-1號邊坡崩塌,0,0,0,0,,93年7月,28,510,573,1624
32,信義,吳興街583巷117弄山坡聚落,0,33,38,114,,0,,1,1,1,1,,108年,24,510,573,1624
9,信義,聯勤技術訓練中心左側兩系谷溝沿線舊山坡聚落,1,29,20,69,"25.021978697620295, 121.57858621443063",1,1.106年信義路五段150巷485-3號旁掏空處理,1,0,0,0,,109年,24,510,573,1624
10,北投,貴子坑溪水磨坑溪匯流口上游山坡聚落,1,83,44,151,"25.14933972649104, 121.49376075861636",0,,1,0,0,1,,110年,24,510,573,1624
11,北投,幽雅路杏林巷曹洞寺附近山坡聚落,1,26,19,51,"25.153345362633168, 121.49029958358798",0,,1,0,0,0,,,,,,
12,士林,中社路1段9巷翠山莊,2,16,33,33,,0,,0,0,0,0,,,,,,
13,士林,臨溪路74巷及100巷山坡聚落,1,30,26,74,"25.0948594799836, 121.54945554947682",0,,1,0,0,0,,,,,,
14,士林,仰德大道復興橋山坡聚落,2,107,277,277,,0,,0,0,0,0,,,,,,
15,士林,中山北路5段復興電台後方山坡聚落,1,43,21,71,"25.153345362633168, 121.49029958358798",0,,1,0,0,0,,,,,,
16,大安,臥龍街426巷及臥龍街380至418號山坡聚落,1,40,17,55,"25.014207804181172, 121.56211206274585",1,"1.109年和平東路三段576號民宅後方土石崩落
2.108年和平東路三段606巷5號下邊坡崩塌",1,0,1,1,,,,,,
17,大安,臥龍街436巷捷運線東側山坡聚落,1,52,57,145," 25.011734855364086, 121.5610626244035 ",0,,1,0,0,0,,,,,,
18,大安,臥龍街436巷捷運線西側山坡聚落,1,30,4,14,"25.013119504883623, 121.56006477310991",0,,1,0,0,0,,,,,,
19,中山,北安路501巷、689巷及自強隧道南洞口東側雞南山沿山腳一帶山坡聚落,0,216,277,908,"25.086466787516127, 121.55128539362478",1,"1.局部崩塌/土石流潛勢溪流谷口地帶
2.82年05月30日瑞伯颱風 土石流",1,1,0,1,,,,,,
20,中山,通北街118巷及146巷山坡聚落,1,114,18,39,"25.084939946055922, 121.53619955146205",1,"1.109年通北街118巷42弄22號後方土方崩落
2.106年通北街118巷68弄28-1號後方土石崩落
3.106年通北街118巷山坡聚落巷道破洞",1,0,0,0,,,,,,
21,內湖,內湖路一段47巷西側及內湖路一段39巷東側(靠劍南路下方)山坡聚落,1,49,16,29,"25.08742593957845, 121.55832221721033",0,,1,0,1,1,,,,,,
22,文山,景興路仙跡岩下方紫範宮一帶山坡聚落,1,64,19,56,"24.99031931127121, 121.54336464150221",1,1.107年景興路275巷16號住宅後方落石,1,0,0,0,,,,,,
23,南港,中南街134巷及168巷一帶山坡聚落,1,56,47,47,"25.051977449090458, 121.61336417938861",1,1.109年中南街168巷1號後側邊坡土石滑落,1,0,0,0,,,,,,
24,南港,舊莊街2段156號後側､160號附近及306巷1號山坡聚落,1,53,29,109,"25.034864242598374, 121.62883193930624",0,,1,0,0,0,,,,,,
25,大安,臥龍街379巷對面山坡聚落,1,54,17,37,"25.014964946431885, 121.56005927705192",0,,1,0,1,1,,,,,,
26,文山,木柵路5段象頭埔山坡聚落,1,21,47,59,"25.0019002891185, 121.58995532716162",0,,1,0,1,1,,,,,,
27,信義,信義路5段150巷342弄東側(慈惠堂)附近山坡聚落,1,75,14,42,"25.02573281716433, 121.57251946139283",1,1.109年信義路五段150巷50號後方山坡地土石滑落,1,0,0,0,,,,,,
28,信義,吳興街600巷55弄對面山坡聚落,2,11,47,47,"25.01993731531472, 121.57104312690147",0,,0,0,0,0,,,,,,
29,南港,研究院路4段下寮橋北側山坡聚落,2,21,47,47,"25.01950913188209, 121.59439344672515",0,,0,0,0,0,,,,,,
30,南港,成福路底北興宮附近山坡聚落,1,17,33,33,"25.03666035870078, 121.59061430049454",0,,1,0,0,0,,,,,,
31,大安,基隆路3段155巷176弄東側山坡聚落,1,137,57,130,"25.012961100282865, 121.54855758180983",0,,1,0,0,0,,,,,,
,,,,1889,1598,3677,,,,,,,,,,,,,
